AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	10379	SecurityBot_Title	G.A.S.S.	G.A.S.S.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	10440	SecurityBot_Subtitle	Security Bot	보안 로봇
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	10557	SecurityBot_Sections_Index0_SectionText	Designed to protect GATE Facilities from internal threats, the GATE Automated Security Sentience (G.A.S.S.) program was initiated in 1985 after the infamous Torii Facility 'Decompression' event.\r\n\r\nThe aim of the project remains to create fully sentient artificial intelligence, but at present the robots are best suited to patrol operations in low-security sectors and keeping the vending machines well-stocked.	내부 위협으로부터 GATE 시설들을 지키기 위해 설계된, GATE 자동화 보안 지각(G.A.S.S., GATE Automated Security Sentience) 프로그램은 악명 높은 토리이 시설의 '감압' 사건 이후 1985년에 시작되었다.\r\n\r\n이 프로젝트의 목표는 완전한 지각의 인공 지능을 만드는 것이지만, 현재의 로봇들은 저위험 섹터의 순찰 작전과 자판기의 재고를 채워넣는 것이 그 능력의 전부다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11054	ContainmentBot_Title	G.A.I.A.	G.A.I.A.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11118	ContainmentBot_Subtitle	Containment Bot	격리 로봇
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11241	ContainmentBot_Sections_Index0_SectionText	A recent addition to the GATE's security apparatus, the GATE Automated Immurement Automaton, or "Containment Bot" for short, builds on the Security Bot architecture originally designed by Dr. Alice Mayfield by adding immurement protocols devised by Dr. Stewart Wakeman. The unit is currently undergoing field evaluation at the Cascade Research Facility.	GATE 보안 시스템에 최근 추가된 GATE 수용 자동화 장치 (GATE Automated Immurement Automaton), 짧게는 "격리 로봇"이라고 한다. 앨리스 메이필드 박사가 설계한 보안 로봇의 구조를 바탕으로 스튜워트 웨이크먼 박사가 고안한 격리 절차가 추가되었다. 해당 기계는 현재 캐스케이드 연구 시설에서 현장 평가를 받고 있다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11675	DefenseBot_Title	G.A.D.D.	G.A.D.D.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11735	DefenseBot_Subtitle	Defense Bot	방어 로봇
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	11843	DefenseBot_Sections_Index0_SectionText	An advancement on the original G.A.S.S. 'Security Bot' designed by Dr. Alice Mayfield and Dr. Stewart Wakeman, the Gate Automated Defense Droid is a militarized prototype currently undergoing field tests.\r\n\r\nDeployed prematurely during the Order's invasion, the unit's friend/foe distinction capabilities are a work in progress. Notably, the tendency of its rear power unit to explode under heavy damage is yet to be rectified.	앨리스 메이필드 박사와 스튜워트 웨이크먼 박사가 설계한 G.A.S.S. '보안 로봇'의 발전된 형태인 GATE 자동화 방어 드로이드 (GATE Automated Defense Droid)는 현재 현장 테스트를 중인 군용 프로토타입이다.\r\n\r\n기사단의 습격으로 인해 조기 투입되었으며, 피아식별 기능은 아직 수정 중이다. 특히, 후방 전원 장치가 심각한 피해를 입을 경우 폭발하는 현상은 아직 고쳐지지 않았다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	12351	OrderGrunt_Title	Order: Triarii	기사단: 트리아리이
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	12417	OrderGrunt_Subtitle	Grunt	엘리트
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	12526	OrderGrunt_Sections_Index0_SectionText	Trained as thoroughly in gnostic theology as close-quarter battle tactics, the Order's Triarii are conditioned to overcome enemies both physical and spiritual. Battle-hardened by years of clandestine deployments, Triarii are the Order's first, finest and usually final footsoldiers.	신학 이론과 근접 전투 기술을 철저하게 훈련받은 기사단의 트리아리이는, 물리적이고 영적인 적을 모두 상대할 준비가 되어있다. 수년에 걸친 비밀스러운 파병으로 전투 경험이 풍부한 트리아리이는 기사단의 으뜸이자, 정예이자, 대게 최후의 보병이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	12902	OrderGrunt_Sections_Index1_SectionText	The Order's Latinate dialect has changed markedly over the years, evolving from its classical origins into a unique, almost impenetrable language entirely its own.	기사단의 라틴어 방언은 시간이 지나면서 현저히 변화하였다. 고전적인 그 기원에서, 지금은 특수하고 거의 불가해한 독자적인 언어로 진화하였다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13149	OrderCaptain_Title	Order: Legate	기사단: 군단장
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13216	OrderCaptain_Subtitle	Captain	대장
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	13328	OrderCaptain_Sections_Index0_SectionText	Legates of the Order achieve their command through a mixture of zealotry, combat victories, and sheer survival.\r\n\r\nAlthough the Order conducts extensive intelligence gathering in advance of any operation, a Legate’s role frequently involves leadership under unexpected, if not extraordinary conditions. As such, those who earn the role are trusted with a high degree of operational independence.	기사단의 레가테들은 열정, 승리, 그리고 순수한 생존의 조합을 통해 지휘를 완수한다.\r\n\r\n기사단은 모든 작전에 앞서 광범위한 정보 수집을 시행하지만, 레가테는 종종 예상치 못한, 또는 특수한 상황에서 그 역할을 수행한다. 따라서, 이들은 작전에서 높은 수준의 독립성을 보장받는다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	14217	OrderCaptain_Sections_Index1_SectionText	Legates are among the Order's most fervent believers, and sometimes called 'Perfecti', in acknowledgement of their Cathar-derived traditions.	레가테들은 기사단의 열렬한 신자 중 하나이며, 카타리파에서 유래한 전통을 바탕으로 종종 '퍼펙티(Perfecti)' 라고 불리기도 한다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	14435	LabRat_Title	Order: Inquisitor	기사단: 조사관
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	14500	LabRat_Subtitle	Lab Rat	실험쥐
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	14606	LabRat_Sections_Index0_SectionText	Charged with the noble but corrupting task of assessing the anomalies and aberrations seized by their organization from its enemies, Inquisitors are one of the most essential yet mistrusted elements of the Order's ancient apparatus.	인퀴지터는 조직의 적들로부터 압수한 이상 현상물과 변이를 평가하는, 고귀하지만 타락하기 쉬운 임무를 담당한다. 이들은 기사단 내의 핵심적이지만, 신뢰받지는 못하는 부품이다.
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	14918	Breacher_Title	Order: Exulum	기사단: 엑슐룸
AbioticFactor/Content/Blueprints/DataTables/DT_Compendium.uasset	14981	Breacher_Subtitle	Breacher	돌격병
