AbioticFactor/Content/Blueprints/Environment/Special/MapPamphletBox_BP.uasset	783Bh		TAKE A MAP	지도 얻기
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	5B69Ch		bandaged	에게 붕대를 감아주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	61931h		given pills/gave pills to	에게 알약을 주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	71FC8h		bandaged	에게 붕대를 감아주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	92686h		splinted	에게 부목을 대주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	94301h		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	991D4h		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	A798Eh		healed	을(를) 치료해주었습니다
AbioticFactor/Content/Blueprints/Items/ItemTable_Global.uasset	AF5C7h		given pills/gave pills to	에게 알약을 주었습니다
AbioticFactor/Content/Maps/Facility.umap	14458819		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility.umap	14458951		SECURITY	보안
AbioticFactor/Content/Maps/Facility.umap	14459082		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility.umap	14459215		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility.umap	14459347		WILDLIFE PENS	야생 동물 우리
AbioticFactor/Content/Maps/Facility.umap	14459955		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility.umap	14460091		CONTAINMENT	격리 블록
AbioticFactor/Content/Maps/Facility.umap	14460225		GYM & POOL	체육실 & 수영장
AbioticFactor/Content/Maps/Facility.umap	14460358		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14460495		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14460632		REACTORS	반응로 구역
AbioticFactor/Content/Maps/Facility.umap	14460763		SYNAPTIC LABS	시냅스 연구소
AbioticFactor/Content/Maps/Facility.umap	14460899		DEFENSE SECTOR	방어 구역
AbioticFactor/Content/Maps/Facility.umap	14461036		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility.umap	14461166		CLOUD REACTOR	구름 반응로
AbioticFactor/Content/Maps/Facility.umap	14461302		DATA FARM	데이터 저장소
AbioticFactor/Content/Maps/Facility.umap	14461434		L1 TRAM PLAZA	1층 트램 광장
AbioticFactor/Content/Maps/Facility.umap	14461570		C. BLOCKS	격리 블록
AbioticFactor/Content/Maps/Facility.umap	14461702		ADJUSTMENT	조정동
AbioticFactor/Content/Maps/Facility.umap	14461835		VAC CHAMBER	진공 챔버
AbioticFactor/Content/Maps/Facility.umap	14461969		OFFICE SECTOR	사무 구역
AbioticFactor/Content/Maps/Facility_Containment.umap	6930665		CONTROL CENTER	관제 센터
AbioticFactor/Content/Maps/Facility_Containment.umap	6930802		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Containment.umap	6930937		CURIE BLOCK	퀴리 블록
AbioticFactor/Content/Maps/Facility_Containment.umap	6931071		INNER WING	내부동
AbioticFactor/Content/Maps/Facility_Containment.umap	6931204		HEAT EXCHANGE	열 교환
AbioticFactor/Content/Maps/Facility_Containment.umap	6931340		REACTOR FLOW	반응로 유체관
AbioticFactor/Content/Maps/Facility_Containment.umap	6931475		SYN. COOLANT	시냅스 연구소 냉각수
AbioticFactor/Content/Maps/Facility_Containment.umap	6931610		COOLING	냉각수
AbioticFactor/Content/Maps/Facility_Containment.umap	6931740		EXCESS RUNOFF	과잉 유출액
AbioticFactor/Content/Maps/Facility_Containment.umap	6931876		FLOW TRANSIT	유체 운반실
AbioticFactor/Content/Maps/Facility_Containment.umap	6932011		ASSESSMENT	평가실
AbioticFactor/Content/Maps/Facility_Containment.umap	6932144		ASSESSMENT	평가실
AbioticFactor/Content/Maps/Facility_Containment.umap	6932277		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Containment.umap	6932407		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Containment.umap	6932537		HYDROPLANT	수력발전소
AbioticFactor/Content/Maps/Facility_Containment.umap	6932670		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_Containment.umap	6932804		OBSERVATION	관측소
AbioticFactor/Content/Maps/Facility_Dam.umap	7722675		LOWER ACCESS	저층 접근로
AbioticFactor/Content/Maps/Facility_Dam.umap	7722810		ELECTRICAL GRID	전력 계통
AbioticFactor/Content/Maps/Facility_Dam.umap	7722948		RELEASE DRAIN	배수 활성화
AbioticFactor/Content/Maps/Facility_Dam.umap	7723084		DOCKS	정박지
AbioticFactor/Content/Maps/Facility_Dam.umap	7723212		ROBOTICS	로보틱스
AbioticFactor/Content/Maps/Facility_Dam.umap	7723343		MONITORING	모니터링
AbioticFactor/Content/Maps/Facility_Dam.umap	7723476		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam.umap	7723611		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam.umap	7723746		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam.umap	7723881		RESIDENCES	주거 구역
AbioticFactor/Content/Maps/Facility_Dam.umap	7724014		ELECTRICAL GRID	전력 계통
AbioticFactor/Content/Maps/Facility_Dam.umap	7724152		ELECTRICAL GRID	전력 계통
AbioticFactor/Content/Maps/Facility_Dam.umap	7724290		TRANSFORMERS	변전소
AbioticFactor/Content/Maps/Facility_Dam.umap	7724425		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2468200		SPILLWAY C	배수로 C
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2468333		SPILLWAY B	배수로 B
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2468466		STORAGE DECK	창고 데크
AbioticFactor/Content/Maps/Facility_Dam_Central.umap	2468601		STORAGE DECK	창고 데크
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1978325		ELECTRICAL	전력소
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1978459		SYSTEMS	시스템
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1978589		LOCKERS	락커
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1978721		MAINFRAME	메인프레임
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1978856		FLOW VALVES	유량 밸브
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1978993		TRANSMITTER	송신기
AbioticFactor/Content/Maps/Facility_Dam_Hydroplant.umap	1979128		SYSTEMS CHIEF	시스템 관리자
AbioticFactor/Content/Maps/Facility_Dam_Lower.umap	1316226		ROBOTICS	로보틱스
AbioticFactor/Content/Maps/Facility_Dam_Waterfall.umap	1464674		EXERCISE	헬스장
AbioticFactor/Content/Maps/Facility_Dam_Waterfall.umap	1464805		MAINFRAME	메인프레임
AbioticFactor/Content/Maps/Facility_Dam_Waterfall.umap	1464937		MAINFRAME	메인프레임
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5675556		SYNAPTIC LABS	시냅스 연구소
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5675692		DUSK REACTOR	황혼 반응로
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5675827		CHECK-IN BELOW	체크인
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5675964		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5676099		CLOUD REACTOR	구름 반응로
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5676235		OBSERVATION	관측실
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5676369		OBSERVATION	관측실
AbioticFactor/Content/Maps/Facility_DarkFusion.umap	5676503		OBSERVATION	관측실
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1220951		MIST REACTOR	안개 반응로
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1221086		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1221221		POWER RELAY	송전실
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1221355		REACTORS	반응로 구역
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1221486		WAYGATE CTRL	웨이게이트 제어실
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1221621		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1221756		WAYGATE CTRL	웨이게이트 제어실
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1221891		POWER RELAY	송전실
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1222025		WAYGATE	웨이게이트
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1222155		POWER RELAY	송전실
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1222289		WG-INTRADOS	인트라도스 웨이게이트
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1222423		UPPER BRIDGE	고층 교량
AbioticFactor/Content/Maps/Facility_DF_Central.umap	1222558		WAYGATE CTRL	웨이게이트 제어실
AbioticFactor/Content/Maps/Facility_DF_Labs.umap	6120613		DUSK REACTOR	황혼 반응로
AbioticFactor/Content/Maps/Facility_DF_Labs.umap	6120748		DUSK REACTOR	황혼 반응로
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3544893		CONTROL ROOM	제어실
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3545028		ROADWAY	진입로
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3545158		LOWER STORAGE	저층 창고
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3545294		REACTOR	반응로
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3545424		TURBINE 01	터빈 01
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3545557		RECEPTION	접수처
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3545689		CONTROL ROOM	제어실
AbioticFactor/Content/Maps/Facility_DF_Overgrowth.umap	3545824		TURBINE 02	터빈 02
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5593484		TOPSIDE ACCESS	상층부 접근로
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5593621		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5593756		REACTOR ENTRY	반응로 입구
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5593892		REACTOR ENTRY	반응로 입구
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5594164		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5594299		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5594569		LOWER ACCESS	저층 접근로
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5594704		UPPER ACCESS	고층 접근로
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5594839		REACTOR ENTRY	반응로 입구
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5594975		REACTOR ENTRY	반응로 입구
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5595111		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5595246		REACTOR ENTRY	반응로 입구
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5595382		REACTOR ENTRY	반응로 입구
AbioticFactor/Content/Maps/Facility_DF_RadWaste.umap	5595518		REACTOR ENTRY	반응로 입구
AbioticFactor/Content/Maps/Facility_DF_War.umap	7857536		DEPLETED FUEL	폐기 연료 보관고
AbioticFactor/Content/Maps/Facility_DF_War.umap	7857673		LOWER OFFICES	저층 사무 구역
AbioticFactor/Content/Maps/Facility_DF_War.umap	7857809		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7857944		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7858079		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7858214		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7858349		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7858484		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7858619		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7858754		TRAM STATION	트램 정거장
AbioticFactor/Content/Maps/Facility_DF_War.umap	7858889		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7859024		LAB/ FUEL CRYO	연구실/연료 냉동고
AbioticFactor/Content/Maps/Facility_DF_War.umap	7859161		DEPLETED FUEL	폐기 연료 보관고
AbioticFactor/Content/Maps/Facility_DF_War.umap	7859298		LOUNGE	라운지
AbioticFactor/Content/Maps/Facility_DF_War.umap	7859427		LAB/ FUEL CRYO	연구실/연료 냉동고
AbioticFactor/Content/Maps/Facility_DF_War.umap	7859564		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7859699		GALE REACTOR	돌풍 반응로
AbioticFactor/Content/Maps/Facility_DF_War.umap	7859834		MAIN LOBBY	메인 로비
AbioticFactor/Content/Maps/Facility_Labs.umap	7374338		HOLDING	구류실
AbioticFactor/Content/Maps/Facility_Labs.umap	7374492		LENS EPICENTRE	렌즈 중심점
AbioticFactor/Content/Maps/Facility_Labs.umap	7374629		ADJUSTMENT	조정동
AbioticFactor/Content/Maps/Facility_Labs.umap	7374762		LENS EPICENTRE	렌즈 중심점
AbioticFactor/Content/Maps/Facility_Labs.umap	7374899		LENS EPICENTRE	렌즈 중심점
AbioticFactor/Content/Maps/Facility_Labs.umap	7375038		VACUUM CHAMBER	진공 챔버
AbioticFactor/Content/Maps/Facility_Labs.umap	7375199		PORTAL LAB 04	포탈 연구실 04
AbioticFactor/Content/Maps/Facility_Labs.umap	7375335		INNER WING	내부동
AbioticFactor/Content/Maps/Facility_Labs.umap	7375468		INNER WING	내부동
AbioticFactor/Content/Maps/Facility_Labs.umap	7375601		INNER WING	내부동
AbioticFactor/Content/Maps/Facility_Labs.umap	7375734		WILDLIFE PENS	야생 동물 우리
AbioticFactor/Content/Maps/Facility_Labs.umap	7375870		ADJUSTMENT	조정동
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5622947		LASER LAB	레이저 연구실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5623079		LASER LAB	레이저 연구실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5623211		CELLULAR LAB	세포 연구실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5623346		VIEWING ROOM	관측실
AbioticFactor/Content/Maps/Facility_Labs_Adjustment.umap	5623481		VIEWING ROOM	관측실
